year,country,cost_type,category,annual_budget_usd
2026,Bolivia,OPEX,bad_debt,2238171.4
2026,Bolivia,OPEX,energy,30870204.16
2026,Bolivia,OPEX,ga,7855645.13
2026,Bolivia,OPEX,it_software,10075195.47
2026,Bolivia,OPEX,network_om,26989713.98
2026,Bolivia,OPEX,personnel,31990225.14
2026,Bolivia,OPEX,sales_marketing,23637167.63
2026,Bolivia,OPEX,site_lease,19134585.77
2026,Colombia,OPEX,bad_debt,5516428.68
2026,Colombia,OPEX,energy,76104352.02
2026,Colombia,OPEX,ga,19339777.7
2026,Colombia,OPEX,it_software,24861757.66
2026,Colombia,OPEX,network_om,66264428.11
2026,Colombia,OPEX,personnel,78479571.65
2026,Colombia,OPEX,sales_marketing,57882925.68
2026,Colombia,OPEX,site_lease,46906928.93
2026,Guatemala,OPEX,bad_debt,5846212.89
2026,Guatemala,OPEX,energy,80405848.94
2026,Guatemala,OPEX,ga,20444007.58
2026,Guatemala,OPEX,it_software,26396808.15
2026,Guatemala,OPEX,network_om,70118746.43
2026,Guatemala,OPEX,personnel,83525225.19
2026,Guatemala,OPEX,sales_marketing,61132444.3
2026,Guatemala,OPEX,site_lease,49708094.27
2026,Panama,OPEX,bad_debt,2911285.59
2026,Panama,OPEX,energy,40128591.97
2026,Panama,OPEX,ga,10284907.39
2026,Panama,OPEX,it_software,13104375.12
2026,Panama,OPEX,network_om,34980925.63
2026,Panama,OPEX,personnel,41616708.75
2026,Panama,OPEX,sales_marketing,30643462.87
2026,Panama,OPEX,site_lease,24844924.83
2026,Paraguay,OPEX,bad_debt,2088842.88
2026,Paraguay,OPEX,energy,28672604.4
2026,Paraguay,OPEX,ga,7340404.83
2026,Paraguay,OPEX,it_software,9400631.44
2026,Paraguay,OPEX,network_om,25149957.38
2026,Paraguay,OPEX,personnel,29702447.58
2026,Paraguay,OPEX,sales_marketing,21953539.36
2026,Paraguay,OPEX,site_lease,17738382.82
2026,Bolivia,CAPEX,core,8409586.92
2026,Bolivia,CAPEX,cpe,6745654.41
2026,Bolivia,CAPEX,fiber_transport,17041611.43
2026,Bolivia,CAPEX,it_digital,8463575.74
2026,Bolivia,CAPEX,ran_access,25126157.14
2026,Bolivia,CAPEX,spectrum_licenses,4500115.9
2026,Colombia,CAPEX,core,20760934.73
2026,Colombia,CAPEX,cpe,16519967.78
2026,Colombia,CAPEX,fiber_transport,41017242.58
2026,Colombia,CAPEX,it_digital,20809232.0
2026,Colombia,CAPEX,ran_access,62327757.4
2026,Colombia,CAPEX,spectrum_licenses,11024357.13
2026,Guatemala,CAPEX,core,21964799.04
2026,Guatemala,CAPEX,cpe,17474302.47
2026,Guatemala,CAPEX,fiber_transport,43852475.18
2026,Guatemala,CAPEX,it_digital,21973450.99
2026,Guatemala,CAPEX,ran_access,65926196.93
2026,Guatemala,CAPEX,spectrum_licenses,11594340.06
2026,Panama,CAPEX,core,11001997.64
2026,Panama,CAPEX,cpe,8745691.28
2026,Panama,CAPEX,fiber_transport,21784225.44
2026,Panama,CAPEX,it_digital,10940286.85
2026,Panama,CAPEX,ran_access,33052737.23
2026,Panama,CAPEX,spectrum_licenses,5864272.13
2026,Paraguay,CAPEX,core,7824430.68
2026,Paraguay,CAPEX,cpe,6243618.06
2026,Paraguay,CAPEX,fiber_transport,15638126.58
2026,Paraguay,CAPEX,it_digital,7828006.41
2026,Paraguay,CAPEX,ran_access,23444825.26
2026,Paraguay,CAPEX,spectrum_licenses,4186423.7
