month,country,category,committed_usd,spent_usd
2024-01,Bolivia,ran_access,2263214.46,1968012.57
2024-01,Bolivia,fiber_transport,1497876.54,1302501.34
2024-01,Bolivia,core,741811.19,645053.21
2024-01,Bolivia,it_digital,749119.33,651408.12
2024-01,Bolivia,cpe,596126.96,518371.27
2024-01,Bolivia,spectrum_licenses,393605.49,342265.64
2024-01,Colombia,ran_access,5492542.23,4776123.67
2024-01,Colombia,fiber_transport,3669193.31,3190602.88
2024-01,Colombia,core,1817046.47,1580040.41
2024-01,Colombia,it_digital,1852249.18,1610651.46
2024-01,Colombia,cpe,1490381.64,1295984.04
2024-01,Colombia,spectrum_licenses,988845.77,859865.89
2024-01,Guatemala,ran_access,5800267.6,5043710.95
2024-01,Guatemala,fiber_transport,3927173.65,3414933.61
2024-01,Guatemala,core,1943722.43,1690193.42
2024-01,Guatemala,it_digital,1905795.11,1657213.14
2024-01,Guatemala,cpe,1568912.78,1364271.98
2024-01,Guatemala,spectrum_licenses,1037712.54,902358.73
2024-01,Panama,ran_access,3003967.81,2612145.92
2024-01,Panama,fiber_transport,1968801.05,1712000.91
2024-01,Panama,core,973444.72,846473.67
2024-01,Panama,it_digital,966722.37,840628.14
2024-01,Panama,cpe,772387.27,671641.1
2024-01,Panama,spectrum_licenses,505986.4,439988.17
2024-01,Paraguay,ran_access,2012439.67,1749947.54
2024-01,Paraguay,fiber_transport,1359176.59,1181892.69
2024-01,Paraguay,core,688048.82,598303.32
2024-01,Paraguay,it_digital,667135.03,580117.41
2024-01,Paraguay,cpe,546354.03,475090.46
2024-01,Paraguay,spectrum_licenses,365860.71,318139.75
2024-02,Bolivia,ran_access,2233788.06,1942424.4
2024-02,Bolivia,fiber_transport,1479256.01,1286309.57
2024-02,Bolivia,core,743189.09,646251.38
2024-02,Bolivia,it_digital,766574.3,666586.34
2024-02,Bolivia,cpe,603569.89,524843.38
2024-02,Bolivia,spectrum_licenses,395068.85,343538.13
2024-02,Colombia,ran_access,5457391.16,4745557.53
2024-02,Colombia,fiber_transport,3640446.27,3165605.45
2024-02,Colombia,core,1800140.04,1565339.17
2024-02,Colombia,it_digital,1800108.32,1565311.58
2024-02,Colombia,cpe,1479047.21,1286128.01
2024-02,Colombia,spectrum_licenses,965101.86,839219.01
2024-02,Guatemala,ran_access,5744516.51,4995231.75
2024-02,Guatemala,fiber_transport,3890563.41,3383098.62
2024-02,Guatemala,core,1949989.63,1695643.15
2024-02,Guatemala,it_digital,1889785.53,1643291.76
2024-02,Guatemala,cpe,1556281.25,1353288.04
2024-02,Guatemala,spectrum_licenses,1051760.0,914573.91
2024-02,Panama,ran_access,2929730.18,2547591.46
2024-02,Panama,fiber_transport,2005961.92,1744314.72
2024-02,Panama,core,988364.47,859447.36
2024-02,Panama,it_digital,991301.66,862001.45
2024-02,Panama,cpe,809278.1,703720.09
2024-02,Panama,spectrum_licenses,523244.35,454995.09
2024-02,Paraguay,ran_access,2091584.11,1818768.79
2024-02,Paraguay,fiber_transport,1411448.77,1227346.75
2024-02,Paraguay,core,689681.65,599723.18
2024-02,Paraguay,it_digital,696615.74,605752.82
2024-02,Paraguay,cpe,551013.44,479142.12
2024-02,Paraguay,spectrum_licenses,373149.74,324478.03
2024-03,Bolivia,ran_access,2218467.83,1929102.46
2024-03,Bolivia,fiber_transport,1478201.86,1285392.93
2024-03,Bolivia,core,751401.79,653392.86
2024-03,Bolivia,it_digital,745214.98,648013.03
2024-03,Bolivia,cpe,580379.41,504677.75
2024-03,Bolivia,spectrum_licenses,389668.51,338842.18
2024-03,Colombia,ran_access,5419803.49,4712872.6
2024-03,Colombia,fiber_transport,3627555.01,3154395.66
2024-03,Colombia,core,1849421.0,1608192.17
2024-03,Colombia,it_digital,1844005.95,1603483.43
2024-03,Colombia,cpe,1494052.02,1299175.67
2024-03,Colombia,spectrum_licenses,991377.03,862066.98
2024-03,Guatemala,ran_access,5904884.25,5134681.96
2024-03,Guatemala,fiber_transport,3909314.89,3399404.25
2024-03,Guatemala,core,1943002.01,1689566.96
2024-03,Guatemala,it_digital,1969105.33,1712265.5
2024-03,Guatemala,cpe,1571038.17,1366120.15
2024-03,Guatemala,spectrum_licenses,1038857.74,903354.56
2024-03,Panama,ran_access,2988161.99,2598401.73
2024-03,Panama,fiber_transport,1886909.81,1640791.14
2024-03,Panama,core,972994.52,846082.19
2024-03,Panama,it_digital,972770.84,845887.69
2024-03,Panama,cpe,795429.39,691677.73
2024-03,Panama,spectrum_licenses,533627.3,464023.74
2024-03,Paraguay,ran_access,2043261.39,1776749.04
2024-03,Paraguay,fiber_transport,1421911.86,1236445.09
2024-03,Paraguay,core,683940.73,594731.07
2024-03,Paraguay,it_digital,684250.93,595000.81
2024-03,Paraguay,cpe,554898.44,482520.38
2024-03,Paraguay,spectrum_licenses,369466.91,321275.57
2024-04,Bolivia,ran_access,2187357.55,1902050.04
2024-04,Bolivia,fiber_transport,1507350.59,1310739.65
2024-04,Bolivia,core,754009.15,655660.13
2024-04,Bolivia,it_digital,758258.3,659355.04
2024-04,Bolivia,cpe,593221.64,515844.9
2024-04,Bolivia,spectrum_licenses,397824.54,345934.39
2024-04,Colombia,ran_access,5578039.9,4850469.48
2024-04,Colombia,fiber_transport,3815793.64,3318081.42
2024-04,Colombia,core,1782769.21,1550234.09
2024-04,Colombia,it_digital,1833684.62,1594508.37
2024-04,Colombia,cpe,1488280.05,1294156.56
2024-04,Colombia,spectrum_licenses,976080.08,848765.28
2024-04,Guatemala,ran_access,5838155.05,5076656.56
2024-04,Guatemala,fiber_transport,3899831.69,3391157.99
2024-04,Guatemala,core,1934428.74,1682111.94
2024-04,Guatemala,it_digital,1955497.0,1700432.17
2024-04,Guatemala,cpe,1577680.98,1371896.51
2024-04,Guatemala,spectrum_licenses,1038237.63,902815.33
2024-04,Panama,ran_access,2890828.64,2513764.03
2024-04,Panama,fiber_transport,1935546.13,1683083.59
2024-04,Panama,core,970074.19,843542.77
2024-04,Panama,it_digital,945183.7,821898.87
2024-04,Panama,cpe,781538.06,679598.32
2024-04,Panama,spectrum_licenses,513942.0,446906.09
2024-04,Paraguay,ran_access,2144283.67,1864594.5
2024-04,Paraguay,fiber_transport,1415217.48,1230623.89
2024-04,Paraguay,core,713781.22,620679.32
2024-04,Paraguay,it_digital,690806.98,600701.72
2024-04,Paraguay,cpe,557973.33,485194.2
2024-04,Paraguay,spectrum_licenses,367153.48,319263.9
2024-05,Bolivia,ran_access,2221479.88,1931721.64
2024-05,Bolivia,fiber_transport,1525112.12,1326184.45
2024-05,Bolivia,core,765253.23,665437.59
2024-05,Bolivia,it_digital,735589.67,639643.19
2024-05,Bolivia,cpe,594592.76,517037.18
2024-05,Bolivia,spectrum_licenses,398673.53,346672.63
2024-05,Colombia,ran_access,5581762.71,4853706.7
2024-05,Colombia,fiber_transport,3592535.7,3123944.09
2024-05,Colombia,core,1800497.92,1565650.37
2024-05,Colombia,it_digital,1857910.82,1615574.63
2024-05,Colombia,cpe,1432941.21,1246035.83
2024-05,Colombia,spectrum_licenses,977064.74,849621.51
2024-05,Guatemala,ran_access,5854368.67,5090755.36
2024-05,Guatemala,fiber_transport,3917785.88,3406770.33
2024-05,Guatemala,core,1942583.38,1689202.94
2024-05,Guatemala,it_digital,1936066.13,1683535.77
2024-05,Guatemala,cpe,1577229.0,1371503.48
2024-05,Guatemala,spectrum_licenses,1042700.44,906696.04
2024-05,Panama,ran_access,2890639.53,2513599.59
2024-05,Panama,fiber_transport,1946988.37,1693033.36
2024-05,Panama,core,978551.62,850914.45
2024-05,Panama,it_digital,998345.66,868126.66
2024-05,Panama,cpe,787589.73,684860.64
2024-05,Panama,spectrum_licenses,528443.4,459516.0
2024-05,Paraguay,ran_access,2109009.68,1833921.46
2024-05,Paraguay,fiber_transport,1407830.34,1224200.29
2024-05,Paraguay,core,706971.17,614757.54
2024-05,Paraguay,it_digital,707945.42,615604.72
2024-05,Paraguay,cpe,559059.92,486139.07
2024-05,Paraguay,spectrum_licenses,385638.71,335338.01
2024-06,Bolivia,ran_access,2257818.23,1963320.2
2024-06,Bolivia,fiber_transport,1478604.02,1285742.62
2024-06,Bolivia,core,749883.11,652072.27
2024-06,Bolivia,it_digital,745186.98,647988.68
2024-06,Bolivia,cpe,600609.84,522269.43
2024-06,Bolivia,spectrum_licenses,388199.12,337564.45
2024-06,Colombia,ran_access,5510909.76,4792095.45
2024-06,Colombia,fiber_transport,3678771.82,3198932.01
2024-06,Colombia,core,1858290.5,1615904.78
2024-06,Colombia,it_digital,1823715.28,1585839.38
2024-06,Colombia,cpe,1418584.91,1233552.1
2024-06,Colombia,spectrum_licenses,966057.61,840050.1
2024-06,Guatemala,ran_access,5901598.58,5131824.85
2024-06,Guatemala,fiber_transport,3941778.96,3427633.88
2024-06,Guatemala,core,2019364.61,1755969.23
2024-06,Guatemala,it_digital,1986288.63,1727207.51
2024-06,Guatemala,cpe,1577128.98,1371416.51
2024-06,Guatemala,spectrum_licenses,1049624.17,912716.67
2024-06,Panama,ran_access,2978160.96,2589705.18
