month,country,segment,category,amount_usd
2024-01,Guatemala,Mobile_Prepaid,interconnection_commissions,7243089.43
2024-01,Guatemala,Mobile_Postpaid,interconnection_roaming,4534428.06
2024-01,Guatemala,Home,content_programming,11307213.2
2024-01,Guatemala,B2B,interconnection_capacity,4648508.62
2024-01,Guatemala,Tigo_Money,mfs_transaction,996835.0
2024-01,Guatemala,Equipment,device_cogs,5412141.35
2024-02,Guatemala,Mobile_Prepaid,interconnection_commissions,7292601.88
2024-02,Guatemala,Mobile_Postpaid,interconnection_roaming,4349759.69
2024-02,Guatemala,Home,content_programming,11693208.33
2024-02,Guatemala,B2B,interconnection_capacity,4780693.9
2024-02,Guatemala,Tigo_Money,mfs_transaction,999545.27
2024-02,Guatemala,Equipment,device_cogs,5454120.17
2024-03,Guatemala,Mobile_Prepaid,interconnection_commissions,7243783.0
2024-03,Guatemala,Mobile_Postpaid,interconnection_roaming,4400870.21
2024-03,Guatemala,Home,content_programming,11319235.84
2024-03,Guatemala,B2B,interconnection_capacity,4751496.74
2024-03,Guatemala,Tigo_Money,mfs_transaction,987693.94
2024-03,Guatemala,Equipment,device_cogs,5333423.94
2024-04,Guatemala,Mobile_Prepaid,interconnection_commissions,7290958.78
2024-04,Guatemala,Mobile_Postpaid,interconnection_roaming,4552968.05
2024-04,Guatemala,Home,content_programming,11373974.14
2024-04,Guatemala,B2B,interconnection_capacity,4721723.95
2024-04,Guatemala,Tigo_Money,mfs_transaction,990393.02
2024-04,Guatemala,Equipment,device_cogs,5513725.89
2024-05,Guatemala,Mobile_Prepaid,interconnection_commissions,7306814.58
2024-05,Guatemala,Mobile_Postpaid,interconnection_roaming,4387735.0
2024-05,Guatemala,Home,content_programming,11380318.02
2024-05,Guatemala,B2B,interconnection_capacity,4749779.18
2024-05,Guatemala,Tigo_Money,mfs_transaction,1005287.02
2024-05,Guatemala,Equipment,device_cogs,5438929.03
2024-06,Guatemala,Mobile_Prepaid,interconnection_commissions,7523601.59
2024-06,Guatemala,Mobile_Postpaid,interconnection_roaming,4501848.41
2024-06,Guatemala,Home,content_programming,11539799.51
2024-06,Guatemala,B2B,interconnection_capacity,4762277.63
2024-06,Guatemala,Tigo_Money,mfs_transaction,1017182.6
2024-06,Guatemala,Equipment,device_cogs,5529397.16
2024-07,Guatemala,Mobile_Prepaid,interconnection_commissions,7327470.53
2024-07,Guatemala,Mobile_Postpaid,interconnection_roaming,4583703.12
2024-07,Guatemala,Home,content_programming,11461060.72
2024-07,Guatemala,B2B,interconnection_capacity,4843862.59
2024-07,Guatemala,Tigo_Money,mfs_transaction,1000043.89
2024-07,Guatemala,Equipment,device_cogs,5545112.66
2024-08,Guatemala,Mobile_Prepaid,interconnection_commissions,7136078.25
2024-08,Guatemala,Mobile_Postpaid,interconnection_roaming,4474295.01
2024-08,Guatemala,Home,content_programming,11800298.63
2024-08,Guatemala,B2B,interconnection_capacity,4788227.65
2024-08,Guatemala,Tigo_Money,mfs_transaction,1006236.8
2024-08,Guatemala,Equipment,device_cogs,5424069.39
2024-09,Guatemala,Mobile_Prepaid,interconnection_commissions,7133822.67
2024-09,Guatemala,Mobile_Postpaid,interconnection_roaming,4581037.44
2024-09,Guatemala,Home,content_programming,11706940.08
2024-09,Guatemala,B2B,interconnection_capacity,4794414.83
2024-09,Guatemala,Tigo_Money,mfs_transaction,993608.3
2024-09,Guatemala,Equipment,device_cogs,5574914.98
2024-10,Guatemala,Mobile_Prepaid,interconnection_commissions,7198530.8
2024-10,Guatemala,Mobile_Postpaid,interconnection_roaming,4649417.91
2024-10,Guatemala,Home,content_programming,11659686.55
2024-10,Guatemala,B2B,interconnection_capacity,4856724.54
2024-10,Guatemala,Tigo_Money,mfs_transaction,1024334.57
2024-10,Guatemala,Equipment,device_cogs,5502559.79
2024-11,Guatemala,Mobile_Prepaid,interconnection_commissions,7540736.76
2024-11,Guatemala,Mobile_Postpaid,interconnection_roaming,4557667.25
2024-11,Guatemala,Home,content_programming,11956411.1
2024-11,Guatemala,B2B,interconnection_capacity,4823326.53
2024-11,Guatemala,Tigo_Money,mfs_transaction,1018269.04
2024-11,Guatemala,Equipment,device_cogs,5582041.51
2024-12,Guatemala,Mobile_Prepaid,interconnection_commissions,7453498.82
2024-12,Guatemala,Mobile_Postpaid,interconnection_roaming,4554485.81
2024-12,Guatemala,Home,content_programming,12112460.85
2024-12,Guatemala,B2B,interconnection_capacity,4871658.96
2024-12,Guatemala,Tigo_Money,mfs_transaction,1009056.56
2024-12,Guatemala,Equipment,device_cogs,5609248.87
2025-01,Guatemala,Mobile_Prepaid,interconnection_commissions,7324592.37
2025-01,Guatemala,Mobile_Postpaid,interconnection_roaming,4573096.23
2025-01,Guatemala,Home,content_programming,11709109.01
2025-01,Guatemala,B2B,interconnection_capacity,4815655.7
2025-01,Guatemala,Tigo_Money,mfs_transaction,1020465.35
2025-01,Guatemala,Equipment,device_cogs,5539480.74
2025-02,Guatemala,Mobile_Prepaid,interconnection_commissions,7257026.87
2025-02,Guatemala,Mobile_Postpaid,interconnection_roaming,4541158.28
2025-02,Guatemala,Home,content_programming,11710843.94
2025-02,Guatemala,B2B,interconnection_capacity,4815214.7
2025-02,Guatemala,Tigo_Money,mfs_transaction,1000315.14
2025-02,Guatemala,Equipment,device_cogs,5633196.75
2025-03,Guatemala,Mobile_Prepaid,interconnection_commissions,7552550.26
2025-03,Guatemala,Mobile_Postpaid,interconnection_roaming,4645674.86
2025-03,Guatemala,Home,content_programming,11950897.87
2025-03,Guatemala,B2B,interconnection_capacity,4904710.63
2025-03,Guatemala,Tigo_Money,mfs_transaction,988936.24
2025-03,Guatemala,Equipment,device_cogs,5502247.66
2025-04,Guatemala,Mobile_Prepaid,interconnection_commissions,7635137.83
2025-04,Guatemala,Mobile_Postpaid,interconnection_roaming,4488461.13
2025-04,Guatemala,Home,content_programming,12014831.63
2025-04,Guatemala,B2B,interconnection_capacity,4886366.27
2025-04,Guatemala,Tigo_Money,mfs_transaction,1015430.95
2025-04,Guatemala,Equipment,device_cogs,5608314.61
2025-05,Guatemala,Mobile_Prepaid,interconnection_commissions,7422553.96
2025-05,Guatemala,Mobile_Postpaid,interconnection_roaming,4647722.21
2025-05,Guatemala,Home,content_programming,12080288.72
2025-05,Guatemala,B2B,interconnection_capacity,4869052.96
2025-05,Guatemala,Tigo_Money,mfs_transaction,1015574.1
2025-05,Guatemala,Equipment,device_cogs,5574340.94
2025-06,Guatemala,Mobile_Prepaid,interconnection_commissions,7442609.38
2025-06,Guatemala,Mobile_Postpaid,interconnection_roaming,4571785.7
2025-06,Guatemala,Home,content_programming,12093853.67
2025-06,Guatemala,B2B,interconnection_capacity,4993347.2
2025-06,Guatemala,Tigo_Money,mfs_transaction,1057311.2
2025-06,Guatemala,Equipment,device_cogs,5750861.26
2025-07,Guatemala,Mobile_Prepaid,interconnection_commissions,7536336.15
2025-07,Guatemala,Mobile_Postpaid,interconnection_roaming,4640220.79
2025-07,Guatemala,Home,content_programming,11769959.5
2025-07,Guatemala,B2B,interconnection_capacity,4909343.71
2025-07,Guatemala,Tigo_Money,mfs_transaction,1021313.63
2025-07,Guatemala,Equipment,device_cogs,5748522.53
2025-08,Guatemala,Mobile_Prepaid,interconnection_commissions,7489539.93
2025-08,Guatemala,Mobile_Postpaid,interconnection_roaming,4626744.07
2025-08,Guatemala,Home,content_programming,12024692.74
2025-08,Guatemala,B2B,interconnection_capacity,4938123.07
2025-08,Guatemala,Tigo_Money,mfs_transaction,1035362.38
2025-08,Guatemala,Equipment,device_cogs,5585225.67
2025-09,Guatemala,Mobile_Prepaid,interconnection_commissions,7543952.05
2025-09,Guatemala,Mobile_Postpaid,interconnection_roaming,4591976.98
2025-09,Guatemala,Home,content_programming,12101635.76
2025-09,Guatemala,B2B,interconnection_capacity,4937579.8
2025-09,Guatemala,Tigo_Money,mfs_transaction,1022232.06
2025-09,Guatemala,Equipment,device_cogs,5763753.35
2025-10,Guatemala,Mobile_Prepaid,interconnection_commissions,7544522.67
2025-10,Guatemala,Mobile_Postpaid,interconnection_roaming,4649522.76
2025-10,Guatemala,Home,content_programming,12252479.75
2025-10,Guatemala,B2B,interconnection_capacity,4994979.48
2025-10,Guatemala,Tigo_Money,mfs_transaction,1038232.26
2025-10,Guatemala,Equipment,device_cogs,5703906.61
2025-11,Guatemala,Mobile_Prepaid,interconnection_commissions,7635357.57
