invoice_id,client_id,country,issue_date,due_date,amount_usd,paid_date,status
INV-GT-B2B-001-2024-01,GT-B2B-001,Guatemala,2024-01-05,2024-03-05,2713446.38,2024-03-06,paid
INV-GT-B2B-001-2024-02,GT-B2B-001,Guatemala,2024-02-05,2024-04-05,2744588.4,2024-04-16,paid
INV-GT-B2B-001-2024-03,GT-B2B-001,Guatemala,2024-03-05,2024-05-04,2606734.45,2024-05-04,paid
INV-GT-B2B-001-2024-04,GT-B2B-001,Guatemala,2024-04-05,2024-06-04,2724194.15,2024-06-08,paid
INV-GT-B2B-001-2024-05,GT-B2B-001,Guatemala,2024-05-05,2024-07-04,2723115.72,2024-07-06,paid
INV-GT-B2B-001-2024-06,GT-B2B-001,Guatemala,2024-06-05,2024-08-04,2779295.76,2024-08-14,paid
INV-GT-B2B-001-2024-07,GT-B2B-001,Guatemala,2024-07-05,2024-09-03,2741285.88,2024-09-15,paid
INV-GT-B2B-001-2024-08,GT-B2B-001,Guatemala,2024-08-05,2024-10-04,2770294.3,2024-10-06,paid
INV-GT-B2B-001-2024-09,GT-B2B-001,Guatemala,2024-09-05,2024-11-04,2771739.97,2024-11-05,paid
INV-GT-B2B-001-2024-10,GT-B2B-001,Guatemala,2024-10-05,2024-12-04,2807139.91,2024-12-10,paid
INV-GT-B2B-001-2024-11,GT-B2B-001,Guatemala,2024-11-05,2025-01-04,2754943.04,2025-01-07,paid
INV-GT-B2B-001-2024-12,GT-B2B-001,Guatemala,2024-12-05,2025-02-03,2840675.06,2025-02-08,paid
INV-GT-B2B-001-2025-01,GT-B2B-001,Guatemala,2025-01-05,2025-03-06,2755285.92,2025-03-10,paid
INV-GT-B2B-001-2025-02,GT-B2B-001,Guatemala,2025-02-05,2025-04-06,2815756.15,2025-04-14,paid
INV-GT-B2B-001-2025-03,GT-B2B-001,Guatemala,2025-03-05,2025-05-04,2816052.8,2025-05-12,paid
INV-GT-B2B-001-2025-04,GT-B2B-001,Guatemala,2025-04-05,2025-06-04,2922418.03,2025-06-08,paid
INV-GT-B2B-001-2025-05,GT-B2B-001,Guatemala,2025-05-05,2025-07-04,2778275.58,2025-07-06,paid
INV-GT-B2B-001-2025-06,GT-B2B-001,Guatemala,2025-06-05,2025-08-04,2848782.66,2025-08-16,paid
INV-GT-B2B-001-2025-07,GT-B2B-001,Guatemala,2025-07-05,2025-09-03,2814515.43,2025-09-05,paid
INV-GT-B2B-001-2025-08,GT-B2B-001,Guatemala,2025-08-05,2025-10-04,2781739.11,2025-10-13,paid
INV-GT-B2B-001-2025-09,GT-B2B-001,Guatemala,2025-09-05,2025-11-04,2877517.38,2025-11-13,paid
INV-GT-B2B-001-2025-10,GT-B2B-001,Guatemala,2025-10-05,2025-12-04,2804567.96,2025-12-11,paid
INV-GT-B2B-001-2025-11,GT-B2B-001,Guatemala,2025-11-05,2026-01-04,2855909.32,2026-01-11,paid
INV-GT-B2B-001-2025-12,GT-B2B-001,Guatemala,2025-12-05,2026-02-03,2906594.24,2026-02-10,paid
INV-GT-B2B-001-2026-01,GT-B2B-001,Guatemala,2026-01-05,2026-03-06,2902663.05,2026-03-12,paid
INV-GT-B2B-001-2026-02,GT-B2B-001,Guatemala,2026-02-05,2026-04-06,2887322.51,2026-04-15,paid
INV-GT-B2B-001-2026-03,GT-B2B-001,Guatemala,2026-03-05,2026-05-04,2795192.51,2026-05-18,paid
INV-GT-B2B-001-2026-04,GT-B2B-001,Guatemala,2026-04-05,2026-06-04,2858032.71,2026-06-23,paid
INV-GT-B2B-001-2026-05,GT-B2B-001,Guatemala,2026-05-05,2026-07-04,2876387.06,2026-08-10,open
INV-GT-B2B-001-2026-06,GT-B2B-001,Guatemala,2026-06-05,2026-08-04,2849712.51,2026-09-12,open
INV-GT-B2B-002-2024-01,GT-B2B-002,Guatemala,2024-01-05,2024-02-19,1793333.8,2024-02-23,paid
INV-GT-B2B-002-2024-02,GT-B2B-002,Guatemala,2024-02-05,2024-03-21,1865418.98,2024-03-30,paid
INV-GT-B2B-002-2024-03,GT-B2B-002,Guatemala,2024-03-05,2024-04-19,1890709.27,2024-04-29,paid
