month,country,category,amount_usd
2024-01,Bolivia,network_om,2072148.19
2024-01,Bolivia,energy,2410783.69
2024-01,Bolivia,site_lease,1494529.28
2024-01,Bolivia,personnel,2499748.14
2024-01,Bolivia,sales_marketing,1829196.8
2024-01,Bolivia,it_software,768104.55
2024-01,Bolivia,ga,607917.78
2024-01,Bolivia,bad_debt,170714.24
2024-01,Colombia,network_om,5009606.88
2024-01,Colombia,energy,5840146.71
2024-01,Colombia,site_lease,3620541.73
2024-01,Colombia,personnel,6092851.42
2024-01,Colombia,sales_marketing,4471268.4
2024-01,Colombia,it_software,1916918.15
2024-01,Colombia,ga,1468500.7
2024-01,Colombia,bad_debt,423278.78
2024-01,Guatemala,network_om,5321489.21
2024-01,Guatemala,energy,6067355.49
2024-01,Guatemala,site_lease,3855074.37
2024-01,Guatemala,personnel,6367095.32
2024-01,Guatemala,sales_marketing,4768434.01
2024-01,Guatemala,it_software,2048440.11
2024-01,Guatemala,ga,1565941.91
2024-01,Guatemala,bad_debt,452856.86
2024-01,Panama,network_om,2662314.37
2024-01,Panama,energy,3014641.03
2024-01,Panama,site_lease,1900657.7
2024-01,Panama,personnel,3167519.83
2024-01,Panama,sales_marketing,2334680.6
2024-01,Panama,it_software,1025039.92
2024-01,Panama,ga,769822.83
2024-01,Panama,bad_debt,224187.94
2024-01,Paraguay,network_om,1896976.06
2024-01,Paraguay,energy,2215379.96
2024-01,Paraguay,site_lease,1361181.36
2024-01,Paraguay,personnel,2283827.68
2024-01,Paraguay,sales_marketing,1660682.82
2024-01,Paraguay,it_software,712998.48
2024-01,Paraguay,ga,564021.99
2024-01,Paraguay,bad_debt,162514.26
2024-02,Bolivia,network_om,2088633.2
2024-02,Bolivia,energy,2360479.49
2024-02,Bolivia,site_lease,1477358.51
2024-02,Bolivia,personnel,2529019.76
2024-02,Bolivia,sales_marketing,1820661.03
2024-02,Bolivia,it_software,790963.04
2024-02,Bolivia,ga,601793.95
2024-02,Bolivia,bad_debt,173145.9
2024-02,Colombia,network_om,5098611.84
2024-02,Colombia,energy,5829190.38
2024-02,Colombia,site_lease,3561808.03
2024-02,Colombia,personnel,5968691.62
2024-02,Colombia,sales_marketing,4477765.34
2024-02,Colombia,it_software,1922947.02
2024-02,Colombia,ga,1500428.02
2024-02,Colombia,bad_debt,429946.42
2024-02,Guatemala,network_om,5423758.2
2024-02,Guatemala,energy,6187078.2
2024-02,Guatemala,site_lease,3888845.0
2024-02,Guatemala,personnel,6478077.11
2024-02,Guatemala,sales_marketing,4693069.42
