month,country,segment,revenue_type,revenue_usd
2024-01,Guatemala,Mobile_Prepaid,service,36258851.66
2024-01,Guatemala,Mobile_Postpaid,service,20753483.45
2024-01,Guatemala,Home,service,29739950.34
2024-01,Guatemala,B2B,service,15631786.55
2024-01,Guatemala,Tigo_Money,service,4559081.13
2024-01,Guatemala,Equipment,equipment,5604715.09
2024-02,Guatemala,Mobile_Prepaid,service,36278840.72
2024-02,Guatemala,Mobile_Postpaid,service,19814698.24
2024-02,Guatemala,Home,service,30854401.47
2024-02,Guatemala,B2B,service,15749842.29
2024-02,Guatemala,Tigo_Money,service,4533789.52
2024-02,Guatemala,Equipment,equipment,5611379.32
2024-03,Guatemala,Mobile_Prepaid,service,36299345.14
2024-03,Guatemala,Mobile_Postpaid,service,20075662.49
2024-03,Guatemala,Home,service,30180802.11
2024-03,Guatemala,B2B,service,15746530.13
2024-03,Guatemala,Tigo_Money,service,4477457.99
2024-03,Guatemala,Equipment,equipment,5504289.1
2024-04,Guatemala,Mobile_Prepaid,service,36484821.71
2024-04,Guatemala,Mobile_Postpaid,service,20604102.51
2024-04,Guatemala,Home,service,30212026.15
2024-04,Guatemala,B2B,service,15794883.65
2024-04,Guatemala,Tigo_Money,service,4532583.67
2024-04,Guatemala,Equipment,equipment,5624155.21
2024-05,Guatemala,Mobile_Prepaid,service,36342628.69
2024-05,Guatemala,Mobile_Postpaid,service,20209585.81
2024-05,Guatemala,Home,service,30221451.0
2024-05,Guatemala,B2B,service,15845174.5
2024-05,Guatemala,Tigo_Money,service,4582457.68
2024-05,Guatemala,Equipment,equipment,5651876.83
2024-06,Guatemala,Mobile_Prepaid,service,37181610.46
2024-06,Guatemala,Mobile_Postpaid,service,20424610.36
2024-06,Guatemala,Home,service,30281501.54
2024-06,Guatemala,B2B,service,15940307.14
2024-06,Guatemala,Tigo_Money,service,4603563.78
2024-06,Guatemala,Equipment,equipment,5713436.04
2024-07,Guatemala,Mobile_Prepaid,service,36699691.3
2024-07,Guatemala,Mobile_Postpaid,service,20758772.59
2024-07,Guatemala,Home,service,30456921.55
2024-07,Guatemala,B2B,service,15992231.86
2024-07,Guatemala,Tigo_Money,service,4540682.3
2024-07,Guatemala,Equipment,equipment,5672843.44
2024-08,Guatemala,Mobile_Prepaid,service,35911363.99
2024-08,Guatemala,Mobile_Postpaid,service,20450667.51
2024-08,Guatemala,Home,service,31270659.64
2024-08,Guatemala,B2B,service,15936807.19
2024-08,Guatemala,Tigo_Money,service,4571993.23
2024-08,Guatemala,Equipment,equipment,5607427.3
2024-09,Guatemala,Mobile_Prepaid,service,35886800.61
2024-09,Guatemala,Mobile_Postpaid,service,20981745.49
2024-09,Guatemala,Home,service,30816700.43
2024-09,Guatemala,B2B,service,16026089.51
2024-09,Guatemala,Tigo_Money,service,4535018.51
2024-09,Guatemala,Equipment,equipment,5694232.03
2024-10,Guatemala,Mobile_Prepaid,service,36010437.13
2024-10,Guatemala,Mobile_Postpaid,service,20973285.46
2024-10,Guatemala,Home,service,30781714.78
2024-10,Guatemala,B2B,service,16165323.02
2024-10,Guatemala,Tigo_Money,service,4657616.27
2024-10,Guatemala,Equipment,equipment,5730818.36
2024-11,Guatemala,Mobile_Prepaid,service,37381942.75
2024-11,Guatemala,Mobile_Postpaid,service,20733475.73
2024-11,Guatemala,Home,service,31323641.92
2024-11,Guatemala,B2B,service,16150464.61
2024-11,Guatemala,Tigo_Money,service,4633075.79
2024-11,Guatemala,Equipment,equipment,5784690.7
2024-12,Guatemala,Mobile_Prepaid,service,36992140.98
2024-12,Guatemala,Mobile_Postpaid,service,20663563.19
2024-12,Guatemala,Home,service,31804775.45
2024-12,Guatemala,B2B,service,16107068.72
2024-12,Guatemala,Tigo_Money,service,4554908.69
2024-12,Guatemala,Equipment,equipment,5756237.05
2025-01,Guatemala,Mobile_Prepaid,service,36936705.33
2025-01,Guatemala,Mobile_Postpaid,service,20873748.04
2025-01,Guatemala,Home,service,30999604.36
2025-01,Guatemala,B2B,service,15982267.34
2025-01,Guatemala,Tigo_Money,service,4633731.88
2025-01,Guatemala,Equipment,equipment,5758649.87
2025-02,Guatemala,Mobile_Prepaid,service,36326249.28
2025-02,Guatemala,Mobile_Postpaid,service,20827505.92
2025-02,Guatemala,Home,service,30827840.99
2025-02,Guatemala,B2B,service,16210929.48
2025-02,Guatemala,Tigo_Money,service,4532482.76
2025-02,Guatemala,Equipment,equipment,5794264.33
2025-03,Guatemala,Mobile_Prepaid,service,37332919.99
2025-03,Guatemala,Mobile_Postpaid,service,21009550.97
2025-03,Guatemala,Home,service,31529635.8
2025-03,Guatemala,B2B,service,16268984.1
2025-03,Guatemala,Tigo_Money,service,4533019.62
2025-03,Guatemala,Equipment,equipment,5705272.33
